Driver,TyrePeriod
LAW,15
PIA,13
HAM,12
NOR,12
COL,12
RUS,12
LEC,9
VER,9
GAS,9
ALO,9
HAD,9
BOR,9
SAI,9
STR,9
BEA,9
ANT,8
TSU,6
OCO,6
HUL,6
ALB,5
