,Driver,TotalLaps,TotalStint
0,VER,18,6
1,PIA,21,7
2,NOR,20,6
3,RUS,19,6
4,HAM,19,6
5,LEC,21,6
6,ANT,18,6
7,BEA,18,6
8,ALO,15,5
9,GAS,21,6
10,SAI,12,4
11,TSU,13,4
12,HAD,12,4
13,ALB,13,5
14,OCO,12,4
15,LAW,6,2
16,BOR,9,3
17,STR,9,3
18,HUL,9,3
19,COL,6,1
