Driver,TyrePeriod
ALO,15
GAS,15
BEA,15
NOR,14
LEC,14
HAM,13
VER,12
PIA,12
RUS,12
ANT,12
SAI,12
HAD,12
OCO,12
TSU,10
ALB,10
STR,9
LAW,6
BOR,6
HUL,6
COL,6
