Driver,Total Stint,Pit Stops
NOR,2,1
STR,2,1
BOR,2,1
ALO,2,1
LAW,2,1
HAM,2,1
HAD,2,1
ANT,2,1
OCO,2,1
BEA,2,1
GAS,2,1
RUS,3,2
VER,3,2
HUL,3,2
LEC,3,2
PIA,3,2
ALB,3,2
SAI,3,2
COL,3,2
TSU,3,2
