,Driver,TotalLaps,TotalStint
0,LEC,18,6
1,PIA,18,6
2,NOR,18,6
3,RUS,15,5
4,ALO,15,5
5,STR,18,6
6,BOR,18,6
7,VER,18,6
8,LAW,18,6
9,HAD,15,5
10,BEA,12,4
11,HAM,12,4
12,SAI,15,5
13,COL,12,4
14,ANT,9,3
15,TSU,6,2
16,GAS,6,2
17,OCO,6,2
18,HUL,6,2
19,ALB,9,3
