Driver,TyrePeriod
LAW,15
HAD,15
STR,15
ALO,15
RUS,12
NOR,12
PIA,12
LEC,12
VER,12
BOR,12
BEA,12
SAI,12
HAM,9
ALB,9
ANT,6
COL,6
TSU,6
GAS,6
OCO,6
HUL,6
