Abbreviation,TeamName,ClassifiedPosition
NOR,McLaren,1
PIA,McLaren,2
RUS,Mercedes,3
LEC,Ferrari,4
ALO,Aston Martin,5
BOR,Kick Sauber,6
STR,Aston Martin,7
LAW,Racing Bulls,8
VER,Red Bull Racing,9
ANT,Mercedes,10
HAD,Racing Bulls,11
HAM,Ferrari,12
HUL,Kick Sauber,13
SAI,Williams,14
ALB,Williams,15
OCO,Haas F1 Team,16
TSU,Red Bull Racing,17
COL,Alpine,18
GAS,Alpine,19
BEA,Haas F1 Team,R
