Abbreviation,TeamName,ClassifiedPosition
PIA,McLaren,1
NOR,McLaren,2
LEC,Ferrari,3
VER,Red Bull Racing,4
RUS,Mercedes,5
ALB,Williams,6
HAM,Ferrari,7
LAW,Racing Bulls,8
BOR,Kick Sauber,9
GAS,Alpine,10
BEA,Haas F1 Team,11
HUL,Kick Sauber,12
TSU,Red Bull Racing,13
STR,Aston Martin,14
OCO,Haas F1 Team,15
ANT,Mercedes,16
ALO,Aston Martin,17
SAI,Williams,18
COL,Alpine,19
HAD,Racing Bulls,20
