,Abbreviation,TeamName,Position
4,NOR,McLaren,1.0
81,PIA,McLaren,2.0
16,LEC,Ferrari,3.0
1,VER,Red Bull Racing,4.0
23,ALB,Williams,5.0
63,RUS,Mercedes,6.0
22,TSU,Red Bull Racing,7.0
6,HAD,Racing Bulls,8.0
30,LAW,Racing Bulls,9.0
5,BOR,Kick Sauber,10.0
31,OCO,Haas F1 Team,11.0
87,BEA,Haas F1 Team,12.0
10,GAS,Alpine,13.0
27,HUL,Kick Sauber,14.0
55,SAI,Williams,15.0
44,HAM,Ferrari,16.0
43,COL,Alpine,17.0
12,ANT,Mercedes,18.0
14,ALO,Aston Martin,19.0
18,STR,Aston Martin,20.0
