,Driver,TotalLaps,TotalStint
0,NOR,20,6
1,PIA,21,6
2,LEC,18,7
3,VER,15,5
4,ALB,20,7
5,RUS,18,6
6,TSU,17,6
7,HAD,19,7
8,LAW,20,7
9,BOR,18,6
10,OCO,14,5
11,BEA,13,5
12,GAS,14,5
13,HUL,14,5
14,SAI,13,5
15,HAM,8,3
16,COL,8,3
17,ANT,6,2
18,ALO,8,3
19,STR,8,3
